online_order,book_table,rate,votes,approx_cost(for two people),price_range
1,1,4.1,775,800,1
1,0,4.1,787,800,1
1,0,3.8,918,800,1
0,0,3.7,88,300,0
0,0,3.8,166,600,1
1,0,3.8,286,600,1
0,0,3.6,8,800,1
1,1,4.6,2556,600,1
1,0,4.0,324,700,1
1,0,4.2,504,550,1
1,0,4.1,402,500,1
1,1,4.2,150,600,1
1,1,4.2,164,500,1
0,0,4.0,424,450,0
1,0,3.8,918,800,1
1,0,3.8,90,650,1
1,0,3.9,133,800,1
1,0,3.8,144,700,1
0,0,3.9,93,300,0
1,0,3.1,13,400,0
1,0,3.0,62,400,0
1,0,3.7,180,500,1
0,0,3.6,28,900,1
1,0,3.6,62,600,1
0,0,3.7,31,300,0
0,0,3.2,11,600,1
1,0,3.8,75,200,0
0,0,3.3,4,500,1
0,0,3.3,23,550,1
0,0,3.8,148,550,1
1,0,4.0,219,600,1
1,0,2.8,506,500,1
1,0,3.9,35,500,1
1,0,3.9,172,750,1
1,0,4.2,415,500,1
1,0,3.9,230,650,1
1,0,2.8,91,400,0
1,0,4.2,1647,600,1
1,0,4.4,4884,750,1
1,0,4.0,17,150,0
1,0,3.8,133,200,0
0,0,3.9,28,300,0
1,0,3.9,286,500,1
1,0,3.9,540,800,1
1,1,4.6,2556,600,1
0,0,3.8,36,400,0
1,0,3.6,244,300,0
1,0,4.0,804,450,0
1,0,3.7,679,850,1
1,0,3.1,245,300,0
0,0,3.7,21,450,0
1,0,4.1,28,150,0
0,0,4.3,345,400,0
1,0,4.0,618,750,1
0,0,4.0,1047,450,0
1,0,3.9,627,450,0
1,0,3.8,104,300,0
1,1,4.2,354,800,1
0,0,3.6,55,200,0
1,0,3.7,17,400,0
0,0,4.2,244,800,1
1,1,3.6,163,800,1
1,0,3.8,58,150,0
0,1,4.0,808,850,1
0,0,3.7,78,150,0
1,0,4.1,1720,400,0
1,0,3.6,34,100,0
0,0,4.1,868,700,1
0,0,3.8,39,300,0
1,0,3.2,71,600,1
1,0,3.6,6,500,1
0,0,4.1,520,300,0
0,0,4.1,0,150,0
0,0,2.9,84,700,1
0,0,3.6,299,300,0
0,0,3.6,0,500,1
1,0,4.1,558,150,0
1,0,3.6,28,300,0
0,0,3.7,22,500,1
0,0,3.8,39,350,0
1,0,3.8,153,500,1
1,0,4.2,146,400,0
0,0,3.5,14,200,0
0,0,3.8,42,700,1
0,0,3.8,0,100,0
0,0,4.0,66,300,0
1,0,4.4,4401,600,1
0,0,3.5,31,200,0
0,0,3.5,7,500,1
0,0,3.7,21,250,0
0,0,3.7,0,500,1
0,0,3.7,0,400,0
0,0,3.7,0,200,0
0,0,3.2,9,300,0
0,0,2.6,283,600,1
0,0,3.3,62,800,1
0,0,3.8,64,250,0
0,0,3.7,39,950,1
0,0,3.7,65,300,0
1,0,3.8,71,400,0
0,0,3.5,52,300,0
0,0,3.7,130,200,0
0,0,3.5,10,300,0
0,0,3.8,45,400,0
0,0,3.2,11,600,1
0,0,3.5,13,300,0
0,0,3.4,8,300,0
0,0,3.4,0,250,0
0,0,3.2,9,300,0
0,0,3.2,4,300,0
0,0,3.2,0,200,0
0,0,3.1,29,150,0
0,0,3.4,8,400,0
0,0,3.4,0,150,0
0,0,3.4,0,300,0
0,0,3.4,0,200,0
0,0,3.4,0,150,0
0,0,3.4,0,150,0
0,0,3.4,0,250,0
0,0,3.1,30,900,1
1,0,4.1,201,300,0
0,0,3.3,7,200,0
0,0,3.1,6,100,0
0,0,3.3,17,200,0
0,0,2.9,25,200,0
0,0,2.9,0,400,0
0,0,2.9,0,350,0
0,0,3.3,8,100,0
0,0,3.3,0,150,0
0,0,3.4,0,150,0
0,0,3.4,0,200,0
0,0,3.4,0,100,0
0,0,3.1,0,400,0
0,0,4.1,0,200,0
0,0,3.3,0,150,0
0,0,3.1,0,400,0
0,0,3.3,0,150,0
0,0,2.9,0,250,0
0,0,2.9,0,250,0
0,0,2.9,0,150,0
0,0,3.3,0,200,0
0,0,3.3,0,350,0
0,0,3.3,0,300,0
0,0,3.3,0,100,0
0,0,3.3,0,150,0
1,0,4.0,771,450,0
0,0,3.0,98,800,1
1,0,3.9,47,200,0
